Yes,0 - 20,1,1,1,1,1,1,1,1,0,1,1,1,1,1
Yes,0 - 20,1,1,1,1,1,0,0,0,0,1,1,1,1,0
No,0 - 20,1,1,1,1,1,0,0,0,0,1,1,1,1,0
Yes,0 - 20,1,1,1,1,1,1,1,0,1,1,1,1,1,1
Yes,0 - 20,1,1,1,1,1,1,0,0,0,1,1,1,1,0
Yes,0 - 20,1,1,1,1,1,1,1,0,0,1,1,1,1,1
Yes,0 - 20,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Yes,0 - 20,1,1,1,1,1,1,1,1,0,1,1,1,1,1
Yes,0 - 20,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Yes,0 - 20,1,1,1,1,1,1,1,1,0,1,1,1,1,1
Yes,0 - 20,1,1,1,1,1,1,0,0,0,1,1,1,1,1
No,0 - 20,1,1,1,1,1,1,0,0,0,1,1,1,1,0
No,0 - 20,1,1,1,1,1,1,0,1,0,1,1,1,1,1
Yes,0 - 20,1,1,1,1,1,1,1,0,0,1,1,1,1,0
Yes,0 - 20,1,1,1,1,1,1,0,0,1,1,1,1,1,1
Yes,0 - 20,1,1,1,1,1,1,1,0,0,1,1,1,1,1
No,0 - 20,1,1,1,1,1,0,0,0,0,1,1,1,1,1
Yes,0 - 20,1,1,1,1,1,0,1,0,0,1,1,1,1,0
No,0 - 20,1,1,1,1,1,1,1,1,0,1,1,1,1,1
Yes,0 - 20,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,0 - 20,1,1,1,1,1,1,1,0,0,1,1,1,1,1
No,0 - 20,1,1,1,1,1,1,0,0,1,1,1,1,1,0
Yes,0 - 20,1,1,1,1,1,1,1,0,0,1,1,1,1,0
Yes,20 - 40,1,1,1,1,1,0,1,1,0,1,1,1,1,1
No,0 - 20,1,1,1,1,1,1,1,0,1,1,1,1,1,1
Yes,0 - 20,1,1,0,1,0,1,1,0,1,1,1,1,1,0
Yes,0 - 20,1,1,1,1,1,1,0,0,0,1,1,1,1,0
No,40 - 60,1,1,1,1,1,0,0,0,0,1,1,0,1,1
No,0 - 20,1,1,1,1,1,1,0,0,0,1,1,1,1,1
Yes,0 - 20,1,1,1,1,1,1,0,0,0,1,1,1,1,0
Yes,0 - 20,1,1,1,1,1,0,0,0,0,1,1,1,1,1
No,0 - 20,1,1,1,1,1,1,0,0,0,1,1,1,0,0
Yes,0 - 20,1,1,1,1,1,1,1,0,0,1,1,1,1,1
No,0 - 20,1,1,1,1,1,1,1,0,0,1,1,1,1,0
Yes,0 - 20,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Yes,40 - 60,1,1,1,1,1,1,1,0,1,1,1,1,1,1
Yes,0 - 20,1,1,1,1,1,1,1,0,0,1,1,1,1,1
,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,0 - 20,1,1,1,1,1,1,0,1,1,1,1,1,1,0
Yes,0 - 20,1,1,1,1,1,1,1,0,0,1,1,1,1,1
Yes,,1,1,1,1,1,1,1,0,0,1,1,1,1,1
No,0 - 20,1,1,1,1,1,0,1,0,0,1,1,1,1,0
No,40 - 60,1,1,1,1,1,1,0,0,0,0,1,1,0,0
No,0 - 20,1,1,1,1,1,0,0,0,0,1,1,1,1,0
Yes,0 - 20,1,1,1,1,1,1,1,0,0,1,1,1,1,1
No,20 - 40,1,1,1,1,1,1,0,0,0,1,1,0,1,0
Yes,0 - 20,1,1,1,1,1,1,1,0,0,1,1,1,1,1
Yes,0 - 20,1,1,1,1,1,1,1,0,0,1,1,1,1,1
No,0 - 20,1,1,1,1,1,1,1,0,0,1,1,1,1,1
Yes,0 - 20,1,1,1,1,1,1,1,0,1,1,1,1,1,1
Yes,0 - 20,1,1,1,1,1,1,1,0,0,1,1,1,1,1
No,0 - 20,1,1,1,1,1,0,1,1,0,1,1,1,1,0
No,0 - 20,1,1,1,1,1,0,0,0,0,1,1,1,1,1
